Country,Year,Spending
Indonesia,2019,0.0072856374355152465
Indonesia,2020,0.008862777288548966
Indonesia,2021,0.007415258449179751
Indonesia,2022,0.007680126035769695
Indonesia,2023,0.008211081204668123
Indonesia,2024,0.00860301773831874
Indonesia,2025,0.010446886384200042
Iran,1980,0.05343150185423681
Iran,1981,0.0819038082342705
Iran,1982,0.0790689063839738
Iran,1983,0.0709708065005957
Iran,1984,0.06354853844404004
Iran,1985,0.06512418440332049
Iran,1986,0.06079335975237081
Iran,1987,0.05889107788632806
Iran,1988,0.06269777621033001
Iran,1989,0.0455798049268961
Iran,1990,0.02942650125347595
Iran,1991,0.021697079665705183
Iran,1992,0.017893054443735616
Iran,1993,0.01700361201749712
Iran,1994,0.02073010005126147
Iran,1995,0.021541658849803864
Iran,1996,0.022448645106428095
Iran,1997,0.024988747250577703
Iran,1998,0.026290792476900415
Iran,1999,0.02404551737801059
Iran,2000,0.022950422215257216
Iran,2001,0.024181792967932377
Iran,2002,0.021745763661274266
Iran,2003,0.024050402653568975
Iran,2004,0.028345578046394794
Iran,2005,0.03036654498048169
Iran,2006,0.033151938003344074
Iran,2007,0.02653982821158913
Iran,2008,0.02683341920556369
Iran,2009,0.030477055491766165
Iran,2010,0.02786548060616403
Iran,2011,0.023816345425042743
Iran,2012,0.026866084684997394
Iran,2013,0.021807719090983665
Iran,2014,0.021165570614494884
Iran,2015,0.025570908068691545
Iran,2016,0.027964355628100436
Iran,2017,0.028443384495596025
Iran,2018,0.02356294883243833
Iran,2019,0.021469474501483767
Iran,2020,0.02177010276095222
Iran,2021,0.0231762065251405
Iran,2022,0.02238073604579379
Iran,2023,0.02493810940400675
Iran,2024,0.02218780125314899
Iran,2025,0.020915792291092736
Israel,1980,0.1891933663046984
Israel,1981,0.202622686197897
Israel,1982,0.18388210080059567
Israel,1983,0.1554688867707989
Israel,1984,0.1618222891566265
Israel,1985,0.16600643527798292
Israel,1986,0.14767712882713674
Israel,1987,0.1690014494803083
Israel,1988,0.15947094557291394
Israel,1989,0.12445732654721883
Israel,1990,0.12362686187266993
Israel,1991,0.15586982913660233
Israel,1992,0.10925077527679025
Israel,1993,0.11523243990746944
Israel,1994,0.10119965835375838
Israel,1995,0.07427868713255796
Israel,1996,0.07280816636642941
Israel,1997,0.07083353450063916
Israel,1998,0.06623157075695128
Israel,1999,0.06216333227526226
Israel,2000,0.060167832460015336
Israel,2001,0.06213620789157971
Israel,2002,0.06323570276559062
Israel,2003,0.06196221619030383
Israel,2004,0.061234908954881415
Israel,2005,0.05980995721255032
Israel,2006,0.05814409532718342
Israel,2007,0.06088161331400027
Israel,2008,0.06174837703414705
Israel,2009,0.05916355597092489
Israel,2010,0.05711404216693614
Israel,2011,0.05433352525981838
Israel,2012,0.05313002714306436
Israel,2013,0.05280080182573555
Israel,2014,0.05456453780998608
Israel,2015,0.05275251587309139
Israel,2016,0.051708462671154504
Israel,2017,0.05268895961490771
Israel,2018,0.05130340240707904
Israel,2019,0.049583154396992096
Israel,2020,0.05119175433144256
Israel,2021,0.048119930520867195
Israel,2022,0.043363233594757994
Israel,2023,0.05279164113965233
Israel,2024,0.08468134053430075
Israel,2025,0.07809064087959404
Italy,1980,0.017636432370897223
Italy,1981,0.018211125060357315
Italy,1982,0.020053729031431045
Italy,1983,0.020165014199204596
Italy,1984,0.02008607773606453
Italy,1985,0.019363689201663477
Italy,1986,0.019771426421066666
Italy,1987,0.020603536440041374
Italy,1988,0.020728574592448357
Italy,1989,0.020264273198953565
Italy,1990,0.018807984132591955
Italy,1991,0.018588526837555373
Italy,1992,0.017519769834748698
Italy,1993,0.017867679733127004
Italy,1994,0.017137427595510124
Italy,1995,0.01459637176762247
Italy,1996,0.01581427835426431
Italy,1997,0.01618935237928955
Italy,1998,0.016362128225654384
Italy,1999,0.0167522558920443
Italy,2000,0.017333974080779007
Italy,2001,0.016668744423050455
Italy,2002,0.016939425489348275
Italy,2003,0.016983995123575624
Italy,2004,0.016722893140331787
Italy,2005,0.015951612366334904
Italy,2006,0.015143431716684055
Italy,2007,0.01440918238074581
Italy,2008,0.01530051247208464
Italy,2009,0.015474890960634724
Italy,2010,0.014943131245462222
Italy,2011,0.01468292205529968
Italy,2012,0.01419462385445268
Italy,2013,0.013916774766698533
Italy,2014,0.012507773383312019
Italy,2015,0.011790274107564842
Italy,2016,0.012965312568499159
Italy,2017,0.01284728571567785
Italy,2018,0.01320364164837195
Italy,2019,0.012479803962913125
Italy,2020,0.016623953398176385
Italy,2021,0.016080586704834945
Italy,2022,0.016019037546483546
Italy,2023,0.01533952857406955
Italy,2024,0.015897659385982865
Italy,2025,0.018887272002891593
Japan,1980,0.009067942134500637
